day,time,numberOfModifiedFiles,insertions,deletions,totalLines,complexity,badCommit
3,1026,669,71704,0,71704,0.6448204852717343,1
3,1264,1,11,12,23,0.0,0
3,1280,1,6,3,9,0.0,0
3,1301,1,15,16,31,0.0,0
3,1311,1,41,33,74,0.0,0
4,465,1,4,0,4,1.0,0
4,488,1,2,0,2,0.0,1
4,581,5,80,35,115,1.0,1
0,637,1,11,10,21,1.0,0
1,514,1,27,15,42,1.0,0
1,609,1,39,22,61,1.0,0
1,678,1,74,91,165,1.0,1
2,221,115,2385,132,2517,0.787,1
2,258,71,397,1615,2012,0.26264044943820225,0
2,304,1,110,0,110,1.0,0
2,407,20,28,190,218,0.35106382978723405,0
2,474,1,77,27,104,0.0,0
2,526,1,6,1,7,0.0,0
2,529,1,24,0,24,0.0,0
2,533,2,24,8,32,0.0,0
2,588,4,55,33,88,0.0,0
2,664,14,1061,0,1061,0.6005025125628141,0
2,677,4,3,40,43,0.0,0
3,240,30,1167,698,1865,0.5733788395904437,0
3,287,4,26,212,238,0.7142857142857143,0
3,806,2,4,13,17,0.0,0
3,810,1,3,0,3,0.0,0
3,871,1,101,0,101,1.0,0
3,885,1,9,3,12,1.0,0
4,246,1,3,2,5,1.0,0
4,276,2,12,5,17,1.0,0
4,345,1,25,3,28,0.8947368421052632,0
4,345,2,38,0,38,1.0,0
4,345,1,30,4,34,0.0,1
4,508,3,32,28,60,0.0,0
4,522,9,459,4,463,0.7399103139013453,0
4,527,4,42,26,68,0.0,0
4,542,3,34,11,45,0.0,0
4,563,5,0,267,267,0.0,0
4,572,1,60,38,98,0.0,0
4,573,1,11,2,13,1.0,0
4,587,22,590,20,610,1.0,0
4,618,1,7,0,7,1.0,0
4,621,10,226,6,232,1.0,0
4,634,10,165,54,219,1.0,0
4,646,1,26,6,32,1.0,0
4,648,1,4,5,9,1.0,0
4,665,2,2,6,8,0.0,0
4,712,1,10,1,11,1.0,0
4,1016,56,676,393,1069,1.0,1
6,941,278,4424,3772,8196,0.11737089201877934,0
0,278,1,2,3,5,0.0,0
0,289,10,229,80,309,0.7475728155339806,0
0,495,1,49,38,87,1.0,0
0,538,3,18,10,28,0.0,0
0,538,1,3,1,4,0.0,0
0,610,3,38,2,40,0.9375,0
0,642,3,104,52,156,1.0,0
0,736,3,30,48,78,1.0,1
0,750,6,7,81,88,0.375,0
0,780,2,72,53,125,0.9545454545454546,0
0,808,1,7,1,8,1.0,0
1,296,1,135,61,196,1.0,0
1,363,7,65,80,145,0.5,0
1,435,1,10,1,11,0.0,0
1,455,2,23,9,32,0.6428571428571429,0
1,557,3,1,45,46,0.38235294117647056,0
1,569,1,25,4,29,1.0,0
1,654,2,35,5,40,0.76,0
1,775,2,537,232,769,1.0,1
1,790,2,58,36,94,1.0,0
1,853,2,26,18,44,1.0,1
2,585,19,632,217,849,1.0,1
2,732,1,120,0,120,1.0,0
2,776,2,16,0,16,1.0,0
3,308,3,21,10,31,1.0,0
3,791,3,134,0,134,1.0,0
3,989,4,341,1,342,1.0,0
4,161,1,5,8,13,1.0,0
4,244,4,41,14,55,1.0,0
4,575,15,719,398,1117,1.0,1
0,637,1,11,7,18,1.0,0
0,637,3,69,4,73,1.0,0
0,859,1,2,5,7,1.0,0
0,859,3,160,6,166,1.0,0
0,860,1,27,21,48,1.0,0
1,557,83,40,4783,4823,0.27709556860651363,0
2,537,11,212,70,282,0.978021978021978,1
2,585,1,1,3,4,1.0,0
2,633,1,79,49,128,0.0,0
2,697,2,12,1,13,0.875,0
2,697,1,9,13,22,1.0,0
2,698,1,7,6,13,0.0,0
2,699,1,16,16,32,0.0,0
2,830,1,2,2,4,0.0,0
2,836,2,422,381,803,1.0,0
3,418,1,1,1,2,1.0,0
3,422,1,11,4,15,1.0,0
3,765,19,553,255,808,1.0,1
3,836,1,13,9,22,0.0,0
3,870,3,4,2,6,0.0,1
3,906,3,61,43,104,0.0,0
3,910,1,2,4,6,1.0,0
